StrategyCombo,BuyOperator,SellOperator,BestParams,TrainPerformance,FinalPortfolioValue,StrategyType,Symbol
"['zscore_mean_reversion', 'rsi', 'vwap_zone']",AND,AND,"{'zscore_mean_reversion': {'zscore_window': 14, 'zscore_threshold': 2.5}, 'rsi': {'period': 7, 'buy_threshold': 25, 'sell_threshold': 65}, 'vwap_zone': {'rsi_period': 14, 'rsi_lower': 40, 'rsi_upper': 65}}",-0.21321292394997804,7867.87076050022,combo,XRP/USD
"['bollinger_bands', 'high_low_breakout', 'macd']",OR,OR,"{'bollinger_bands': {'period': 14, 'std_dev': 2}, 'high_low_breakout': {'lookback': 12}, 'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 12}}",-0.9547869373617279,452.1306263827207,combo,XRP/USD
"['moving_average_crossover', 'macd']",AND,AND,"{'moving_average_crossover': {'short_window': 5, 'long_window': 200}, 'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}}",10.803234350119096,118032.34350119096,combo,XRP/USD
"['moving_average_crossover', 'macd']",OR,OR,"{'moving_average_crossover': {'short_window': 5, 'long_window': 200}, 'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}}",11.621636473014009,126216.36473014009,combo,XRP/USD
"['rsi', 'bollinger_bands']",AND,AND,"{'rsi': {'period': 14, 'buy_threshold': 25, 'sell_threshold': 70}, 'bollinger_bands': {'period': 14, 'std_dev': 2.5}}",-0.8011119504338775,1988.880495661225,combo,XRP/USD
"['rsi', 'bollinger_bands']",OR,OR,"{'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}, 'bollinger_bands': {'period': 14, 'std_dev': 2.5}}",-0.6666888324690363,3333.1116753096367,combo,XRP/USD
"['macd', 'zscore_mean_reversion']",AND,AND,"{'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 9}, 'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 3}}",-0.9284849234941845,715.1507650581545,combo,XRP/USD
"['macd', 'zscore_mean_reversion']",OR,OR,"{'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 9}, 'zscore_mean_reversion': {'zscore_window': 30, 'zscore_threshold': 2}}",0.7856751211271467,17856.751211271465,combo,XRP/USD
"['rsi', 'macd', 'volume_price_action']",AND,AND,"{'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}, 'macd': {'fast_period': 20, 'slow_period': 26, 'signal_period': 12}, 'volume_price_action': {'volume_multiplier': 1.5}}",0.1344416395710959,11344.41639571096,combo,XRP/USD
"['zscore_mean_reversion', 'bollinger_bands', 'rsi']",AND,OR,"{'zscore_mean_reversion': {'zscore_window': 14, 'zscore_threshold': 2.5}, 'bollinger_bands': {'period': 20, 'std_dev': 2.5}, 'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 75}}",-0.4145956608380038,5854.043391619962,combo,XRP/USD
"['high_low_breakout', 'vwap_zone', 'moving_average_crossover']",OR,AND,"{'high_low_breakout': {'lookback': 12}, 'vwap_zone': {'rsi_period': 14, 'rsi_lower': 40, 'rsi_upper': 55}, 'moving_average_crossover': {'short_window': 5, 'long_window': 50}}",6.297591850297972,72975.91850297972,combo,XRP/USD
